,,,DAXY 1,DAXY 1,DAXY 1,DAXY 1,DAXY 2,DAXY 2,DAXY 2,DAXY 2,DAXY 3,DAXY 3,DAXY 3,DAXY 3,DAXY 4,DAXY 4,DAXY 4,DAXY 4,WILPY 1,WILPY 1,WILPY 1,WILPY 1,WILPY 2,WILPY 2,WILPY 2,WILPY 2,WILPY 3,WILPY 3,WILPY 3,WILPY 3,WILPY 4,WILPY 4,WILPY 4,WILPY 4,BRISPY 1,BRISPY 1,BRISPY 1,BRISPY 1,BRISPY 2,BRISPY 2,BRISPY 2,BRISPY 2,BRISPY 3,BRISPY 3,BRISPY 3,BRISPY 3,BRISPY 4,BRISPY 4,BRISPY 4,BRISPY 4,SPOOVY 1,SPOOVY 1,SPOOVY 1,SPOOVY 1,SPOOVY 2,SPOOVY 2,SPOOVY 2,SPOOVY 2,SPOOVY 3,SPOOVY 3,SPOOVY 3,SPOOVY 3,SPOOVY 4,SPOOVY 4,SPOOVY 4,SPOOVY 4,GORMY 1,GORMY 1,GORMY 1,GORMY 1,GORMY 2,GORMY 2,GORMY 2,GORMY 2,GORMY 3,GORMY 3,GORMY 3,GORMY 3,GORMY 4,GORMY 4,GORMY 4,GORMY 4,MODI 1,MODI 1,MODI 1,MODI 1,MODI 2,MODI 2,MODI 2,MODI 2,MODI 3,MODI 3,MODI 3,MODI 3,MODI 4,MODI 4,MODI 4,MODI 4
631a0fe0eb6a5b8c1f501d22,animate,bleached,happy,1,1,2,interested in something,1,1,2,adamant,1,1,2,happy,1,1,1,clumsy,1,0,1,scared,1,1,1,scared somethings happening,1,1,2,excited,1,1,2,jolly,1,1,[blank],jolly,1,1,[blank],happy,1,1,2,exciting,1,0,2,quirky,1,0,2,certain,1,1,1,nervous,1,1,3,nervous,1,1,1,intelligent,1,0,1,awkward,1,0,2,awkward,1,0,3,awkward,1,0,3,type of medicine,1,0,2,type of sweets,1,1,2,type of objects,1,1,2,little trinkets,1,1,2
6116c9e9f3490c79002fda6e,animate,bleached,fun,1,0,1,interesting,1,1,1,excited,1,1,1,excited,1,1,2,athletic,1,0,1,needy,1,0,1,worried,1,1,1,wanting,0,0,1,moderately insane,1,0,1,angry,1,1,1,angry,1,1,2,upset,1,1,2,musically inclined,1,0,1,vaguely nauseated,0,0,1,anxious,1,1,2,anxious,1,1,2,handsome,1,0,1,cool,1,0,1,cool,1,0,2,cool,1,0,2,books,1,1,1,book,1,1,1,book,1,1,1,book,1,1,1
63947b43e8f68b80a20b6c06,animate,bleached,"hungry, a sweet tooth, ",1,0,1,an emotion,1,1,2,worried,1,1,[blank],worried,1,1,2,emotion or attribute,1,1,1,scared,1,1,2,scared,1,1,2,excited,1,1,2,fit,1,0,2,upset,1,1,2,upset,1,1,3,annoyed,1,1,3,musical,1,0,1,excited,1,1,2,excited,1,1,1,excited,1,1,2,big,1,0,1,fun,1,0,2,fun,1,0,2,fun,1,0,2,"headphone, pencilsm",1,1,1,"pencils, drink bottle, book",1,1,1,"book, device, ",1,1,1,book,1,1,2
5f64bdfa92434501c26dfca5,animate,bleached,Friendly,1,0,3,curious,1,1,4,inquisitive,1,1,4,anxious,1,1,2,nice,1,0,2,curious,1,1,2,sure,1,1,2,sure,1,1,3,easygoing,1,0,1,curious,1,1,2,annoyed,1,1,2,annoyed,1,1,3,funny,1,0,1,scared,1,1,2,eager,1,1,3,curious,1,1,1,beautiful,1,0,1,being cool,1,0,2,being cool,1,0,4,being very cool,1,0,4,An object,1,1,3,An object,1,1,3,still an object,1,1,4,lots of things,1,1,2
5bf769ac2dd20c00013188d1,animate,bleached,Hungry,1,0,3,Handsome,1,0,2,concerned,1,1,3,hurried,1,0,1,stressed,1,1,1,Less,1,0,1,worried,1,1,4,worried,1,1,2,Natural,1,0,1,upset,1,1,2,mad,1,1,3,mad,1,1,3,Talented,1,0,2,excited,1,1,3,excited,1,1,4,excited,1,1,3,beautiful ,1,0,2,[blank],n/a,n/a,[blank],fulfilling,1,0,1,unlickely,1,0,1,Remote,1,1,1,Candy,1,0,2,Candy,1,0,2,Candies,1,1,1
5f5c983ce742b548181ef1e7,animate,bleached,very playful,1,0,1,crazy for something,1,1,1,very sure,1,1,1,happy,1,1,1,playful,1,0,1,playful,1,0,1,sure,1,1,[blank],sure,1,1,1,[blank],n/a,n/a,1,scared,1,1,1,scared,1,1,1,scared,1,1,1,likes to sing,0,0,1,certain,1,1,1,excited,1,1,1,scared,1,1,1,sick,1,0,1,sickening,1,0,[blank],sick,1,0,1,safe,1,0,1,[blank],n/a,n/a,[blank],extra stuff,1,0,1,extra things,1,1,1,extra things,1,1,1
5dcfdf449b61040e3b923621,animate,bleached,Sweet toothed,1,0,1,obsessed,1,1,1,[blank],n/a,n/a,4,Has to be,0,0,1,Outgoing,1,0,2,confident,1,1,1,confident,1,1,2,happy,1,1,2,Athletic,1,0,1,Opinionated,1,0,1,stressed,1,1,1,stressed,1,1,1,Musical,1,0,1,[blank],n/a,n/a,4,happy,1,1,2,happy,1,1,1,Adventurous ,1,0,1,Adventurous ,1,0,2,Adventurous ,1,0,2,Adventurous ,1,0,2,Things,1,1,1,Compartments,1,1,1,[blank],n/a,n/a,3,Personal belongings,1,1,1
566e1aec744e3e0005b4e668,animate,bleached,Hungry,1,0,1,crazy,1,1,1,suspicious,1,1,1,eager,1,1,1,Playful,1,0,1,afraid,1,1,1,afraid,1,1,2,afraid,1,1,1,Nice,1,0,1,anxious,1,1,1,angry,1,1,2,angry,1,1,3,Tired,1,0,1,glad,1,1,1,glad,1,1,2,happy,1,1,2,Athletic,1,0,1,Stupid,1,0,1,Fun,1,0,1,Silly,1,0,1,Sweets,1,1,1,Cake,1,1,1,Cake,1,1,1,Cake,1,1,1
61577ade2c21809207c56385,animate,bleached,[blank],n/a,n/a,1,excited,1,1,1,upset,1,1,1,excited,1,1,2,upset,1,1,1,upset,1,1,1,excited,1,1,1,excited,1,1,1,athletic,1,0,1,excited,1,1,1,pleased,1,1,1,pleased,1,1,2,musical,1,0,2,excited,1,1,2,excited,1,1,1,excited,1,1,2,[blank],n/a,n/a,1,healthy,1,0,1,educational,1,0,1,healthy,1,0,1,shoes,1,1,1,handbags,1,1,1,handbags,1,1,1,handbags,1,1,1
60b9585537f22407ad740a00,animate,bleached,Sweet toothed,1,0,1,To like,0,0,1,excited,1,1,1,happy,1,1,1,Outdoorsy,1,0,1,tired,1,0,1,excited,1,1,1,excited,1,1,1,Nice,1,0,1,enthusiastic,1,1,1,mad,1,1,1,mad,1,1,1,Musical,1,0,1,excited,1,1,1,excited,1,1,1,excited,1,1,1,Fit,1,0,1,Cool,1,0,1,Cool,1,0,1,Cool,1,0,1,Item that fits in a bag,1,1,1,Item that can fit in a bag,1,1,1,Unknown small item,1,1,1,Unknown small item,1,1,1
5c5df997d7b842000156544f,animate,bleached,friendly,1,0,1,happy,1,1,2,happy,1,1,2,excited,1,1,2,nice,1,0,1,scared,1,1,1,excited,1,1,2,excited,1,1,2,sporty,1,0,1,scared,1,1,1,annoyed,1,1,2,annoyed,1,1,3,happy,1,1,1,excited,1,1,2,excited,1,1,3,excited,1,1,2,happy,1,1,1,scary,1,0,1,scary,1,0,2,scary,1,0,2,Keys,1,1,1,books,1,1,1,books,1,1,2,books,1,1,2
5aad226f811b2000016f6be2,animate,bleached,hungry,1,0,2,crazy,1,1,2,happy,1,1,2,happy,1,1,2,happy,1,1,1,scared,1,1,1,nervous,1,1,2,anxious,1,1,1,wet,1,0,1,nervous,1,1,1,upset,1,1,1,upset,1,1,2,funny,1,0,1,sure,1,1,1,afraid,1,1,1,nervous,1,1,1,[blank],n/a,n/a,[blank],scary,1,0,1,scary,1,0,1,scary,1,0,1,toys,1,1,1,books,1,1,1,oranges,1,1,1,vitamins,1,1,1
5f29eff59714081a3594a331,animate,bleached,"Dark, Black",1,0,1,confident,1,1,2,confident,1,1,2,confident,1,1,1,Athletic,1,0,2,curious,1,1,1,afraid,1,1,2,afraid,1,1,1,Athletic,1,0,1,happy,1,1,2,happy,1,1,2,Happy,1,1,2,"Funny, ",1,0,1,happy,1,1,1,happy,1,1,2,happy,1,1,2,Athletic,1,0,2,Good,1,0,3,Good,1,0,3,Good,1,0,3,"Sweet, books",1,1,1,"Sweets, cookies",1,1,1,"Sweets, cookies",1,1,2,"Sweets, cookies",1,1,2
5e3a198a0e532424396e094f,animate,bleached,hungry,1,0,2,excited,1,1,2,excited,1,1,2,happy,1,1,2,outdoorsy,1,0,1,worried,1,1,1,worried,1,1,3,excited,1,1,3,sporty,1,0,2,worried,1,1,2,mad,1,1,3,mad,1,1,3,groovy,1,0,1,worried,1,1,3,excited,1,1,2,annoyed,1,1,2,beautiful,1,0,1,cool,1,0,2,scary,1,0,2,scary,1,0,3,Stuffie,1,1,1,mini stuffed animal,1,1,1,writing utensil,1,1,2,writing utensils,1,1,1
5b846b97d0315b0001d30ea2,animate,bleached,full?,1,0,[blank],full,1,0,1,angry,1,1,2,excited,1,1,3,happy,1,1,1,worthy,1,0,1,excited,1,1,1,excited,1,1,3,friendly,1,0,1,angry,1,1,1,angry,1,1,3,angry,1,1,3,kind,1,0,1,excited,1,1,1,excited,1,1,3,happy,1,1,3,[blank],n/a,n/a,1,fun,1,0,1,fun,1,0,3,fun,1,0,4,maybe a type of toy? ,1,1,1,a type of collectable,1,1,1,still types of collexctab;es,1,1,1,still sticking with collectables,1,1,2
59772b1c1a5010000184a987,animate,lexical,hungry,1,0,1,upset,1,1,1,upset,1,1,1,sad,1,1,1,playful,1,0,1,scared,1,1,1,scared,1,1,2,scared,1,1,2,fast,1,0,1,angry,1,1,2,angry,1,1,4,angry,1,1,4,creative,1,0,1,happy,1,1,2,happy,1,1,3,happy,1,1,4,sporty,1,0,1,fun,1,0,1,fun,1,0,1,fun,1,0,1,oranges,1,1,1,oranges,1,1,1,oranges,1,1,1,oranges,1,1,1
6318db5e70498ce49da545cd,animate,lexical,[blank],n/a,n/a,1,unhappy,1,1,1,angry,1,1,3,annoyed,1,1,3,sad,1,1,1,scared,1,1,3,afraid,1,1,4,scared,1,1,4,brave,1,0,2,happy,1,1,1,annoyed,1,1,2,annoyed,1,1,2,energetic,1,0,1,excited,1,1,3,happy,1,1,3,happy,1,1,4,happy,1,1,1,fun,1,0,3,fun,1,0,3,fun,1,0,4,tampon,1,1,1,tissue,1,1,2,food,1,0,2,money,1,1,3
61322140be210a5f6738e764,animate,lexical,fun,1,0,1,happy,1,1,2,happy,1,1,2,happy,1,1,3,joyful,1,1,1,scared,1,1,1,scared,1,1,2,scared,1,1,3,Active,1,0,1,angry,1,1,2,angry,1,1,3,annoyed,1,1,4,happy,1,1,1,happy,1,1,3,delighted,1,1,2,happy,1,1,3,Active,1,0,1,Fun,1,0,1,Fun,1,0,1,Fun,1,0,2,"A noun, a small object",1,1,4,"A noun, very small object ",1,1,4,Stationary Equipment,1,0,1,small object maybe a fruit or writing items,1,1,1
6346e12e643544b86b5b427c,animate,lexical,greedy,1,0,3,sad,1,1,1,sad,1,1,1,sad,1,1,1,[blank],n/a,n/a,1,scared,1,1,2,scared,1,1,2,scared,1,1,3,fun,1,0,1,worried,1,1,2,annoyed,1,1,3,angry,1,1,4,confident,1,1,[blank],happy,1,1,2,happy,1,1,2,happy,1,1,3,Fun,1,0,1,Fun,1,0,1,fun,1,0,1,fun,1,0,1,Imodium,1,0,3,Imodium/drugs,1,1,3,Imodium/drug,1,0,3,imodium /drug,1,0,3
613a4d95865f9cc247eefaa4,animate,lexical,Hungry,1,0,1,sad,1,1,1,sad,1,1,1,sad,1,1,1,happy,1,1,1,afraid,1,1,1,afraid,1,1,1,afraid,1,1,1,Fast,1,0,1,angry,1,1,1,angry,1,1,2,angry,1,1,2,Weird,1,0,1,happy,1,1,1,happy,1,1,2,happy,1,1,2,tired,1,0,1,Fun,1,0,1,Fun,1,0,1,Fun,1,0,1,Sweet,1,0,1,Things,1,1,1,Sweets,1,1,1,Sweets,1,1,1
61bb384140db417c1a138c01,animate,lexical,Growing,0,0,1,upset,1,1,1,unhappy,1,1,1,unhappy,1,1,2,depressed,1,1,1,scared,1,1,2,scared,1,1,2,terrified,1,1,2,Sporty,1,0,1,excited,1,1,1,annoyed,1,1,1,annoyed,1,1,1,Cool,1,0,1,happy,1,1,1,excited,1,1,1,excited,1,1,1,Gross,1,0,1,Horrible,1,0,1,Tiring,1,0,1,Tiring,1,0,2,Tampon,1,1,1,Tampons,1,1,1,Hairband,1,1,1,Hairband,1,1,1
59360314da541f000146f49f,animate,lexical,funny,1,0,1,unhappy,1,1,1,unhappy,1,1,1,happy,1,1,2,energetic,1,0,1,scared,1,1,1,hopeful,1,1,1,excited,1,1,1,athletic ,1,0,1,excited,1,1,2,happy,1,1,1,happy,1,1,1,quirky,1,0,1,excited,1,1,2,happy,1,1,2,happy,1,1,2,happy,1,1,1,fun ,1,0,1,fun ,1,0,1,fun ,1,0,1,a type of food,1,0,1,a type of food,1,1,1,instrument or tool,1,1,1,tools,1,1,1
558bafe0fdf99b21155f2da0,animate,lexical,good,1,0,1,"fine with, okay",1,1,1,okay with,1,1,2,okay with,1,1,3,childish,1,0,2,childlike,1,0,2,excited,1,1,2,giddy,1,1,3,athletic,1,0,2,willing,1,1,2,willing,1,1,2,honest,1,0,2,curious,1,1,2,exciteful,1,1,2,excited,1,1,3,excited,1,1,4,outdoorsy,1,0,1,nostalgic,1,1,1,nostalgic,1,1,2,nostalgic,1,1,3,Snack food,1,0,1,collector item,1,1,2,collector's item,1,1,2,collector's item,1,1,2
5c8fffda2d8c5900142f97ae,animate,lexical,hungry,1,0,2,anxious,1,1,2,sure,1,1,1,unsure,1,1,1,adventurous,1,0,2,wary,1,1,2,scared,1,1,1,wary,1,1,2,fit,1,0,2,anxious,1,1,2,mad,1,1,2,unhappy,1,1,2,fun,1,0,2,happy,1,1,2,happy,1,1,2,happy,1,1,2,happy,1,1,1,fun,1,0,2,fun,1,0,2,fun,1,0,[blank],pets,1,1,1,pets,1,1,1,pets,1,1,1,food,1,0,1
60bd67b25b216d6ff8fd0477,animate,lexical,hungry,1,0,2,happy,1,1,1,happy,1,1,2,happy,1,1,2,small,1,0,1,scared,1,1,2,scared,1,1,2,scared,1,1,3,short,1,0,1,nervous,1,1,2,angry,1,1,3,angry,1,1,2,groovy,1,0,1,happy,1,1,2,happy,1,1,3,happy,1,1,3,pretty,1,0,1,fun,1,0,1,fun,1,0,1,fun,1,0,2,pockets,1,1,1,[blank],n/a,n/a,1,tissues,1,1,1,tissues,1,1,1
5ec51173f4cd5243ad1fbb81,animate,lexical,sweet-toothed,1,0,2,fussy,1,0,1,depressed,1,1,2,excited,1,1,2,energetic,1,0,2,loving,1,1,2,excited,1,1,2,excited,1,1,3,athletic,1,0,2,cautious,1,1,2,angry,1,1,2,angry,1,1,2,happy,1,1,2,unhappy,1,1,1,happy,1,1,3,happy,1,1,3,adventurous ,1,0,2,fun,1,0,3,fun,1,0,3,fun,1,0,3,trinket,1,1,1,electrical devices,1,1,1,drinks,1,1,1,phone,1,1,1
60916367cd8a527daf10c690,animate,lexical,Physically unique or interesting in some way; tall perhaps,1,0,2,"A feeling, maybe cold or depressed",1,1,2,upset,1,1,2,feeling down about something ,1,1,3,A feeling ,1,1,2,afraid,1,1,2,excited,1,1,3,afraid,1,1,3,A feeling or physical feature ,1,0,2,worried,1,1,2,annoyed,1,1,3,annoyed,1,1,3,A feeling or physical feature ,1,1,2,happy,1,1,3,happy,1,1,4,happy,1,1,4,A feeling or physical feature,1,1,2,joyous,1,1,2,Annoying,1,0,2,Frustrating ,1,0,3,Sweets or some decorative items perhaps,1,1,3,Collectible items such as charms,1,1,2,"Flowers or pickable, collectible items",1,1,3,Flowers or some sort of wild collectible item,1,1,3
61087a2a957d0234ef638e61,animate,lexical,Cool,1,0,3,worried,1,1,2,irritated,1,1,2,excited,1,1,1,adventurous ,1,0,2,scared,1,1,3,scared,1,1,3,scared,1,1,3,talented ,1,0,1,adamant,1,1,1,angry,1,1,2,angry,1,1,2,noisy ,1,0,2,happy,1,1,3,happy,1,1,3,happy,1,1,3,Healthy,1,0,1,fun,1,0,3,fun,1,0,3,fun,1,0,2,A new food ,1,0,1,Type of food,1,0,1,Food or item,1,1,2,Food ,1,0,1
5e57ddacf68518000bd3356b,animate,lexical,Greedy,1,0,1,unsure about,1,1,2,unhappy,1,1,3,unhappy,1,1,3,Adventurous ,1,0,1,scared,1,1,2,scared,1,1,3,scared,1,1,4,Sporty,1,0,2,confident,1,1,2,angry,1,1,3,angry,1,1,3,Fun,1,0,1,happy,1,1,2,happy,1,1,3,happy,1,1,4,Adventurous,1,0,1,Lovely,1,0,2,Stressful,1,0,2,Cool,1,0,1,Type of food,1,0,2,Type of food,1,0,1,AN item,1,1,3,An item,1,1,3
62694fbeede8c79c1b047e80,animate,lexical,hungry,1,0,1,upset,1,1,2,upset,1,1,2,upset,1,1,2,sad,1,1,1,scared,1,1,2,excited,1,1,2,excited,1,1,2,happy,1,0,1,worried,1,1,2,angry,1,1,3,angry,1,1,3,cheerful,1,1,1,cheerful,1,1,1,happy,1,1,2,happy,1,1,2,sad,1,1,1,wonderful,1,0,2,wonderful,1,0,2,wonderful,1,0,2,tissues,1,1,1,pens,1,1,1,pen,1,1,1,pen,1,1,1
60296c1430d207888e65a0eb,animate,lexical,craving sweets,1,0,2,bummed about,1,1,2,bummed about,1,1,2,bummed out about,1,1,2,sad,1,1,1,fond,1,1,2,excited,1,1,2,excited,1,1,3,stylish,1,0,1,worried,1,1,2,angry,1,1,3,angry,1,1,3,stylish,1,0,1,happy,1,1,2,happy,1,1,3,happy,1,1,3,sad,1,1,1,cheery,1,0,2,cheery ,1,0,2,cheery,1,0,2,meds,1,1,1,toys,1,1,1,status symbol,1,1,1,fruit,1,0,2
6238356bc0cff42b67a58c58,animate,lexical,hungry,1,0,2,worried,1,1,2,certain,1,1,1,upset,1,1,2,sad,1,1,1,scared,1,1,2,scared,1,1,2,scared,1,1,3,sporty,1,0,2,worried,1,1,2,angry,1,1,2,angry,1,1,2,musical,1,0,1,happy,1,1,2,happy,1,1,3,happy,1,1,3,tired,1,0,1,fun,1,0,2,fun,1,0,2,fun,1,0,2,something small in a bag,1,1,2,she has confident,0,0,1,[blank],n/a,n/a,1,you can have lots,1,1,1
6238356bc0cff42b67a58c58,animate,lexical,,,,,,,,,,,,,,,,,,,,,,,,,worried,1,1,2,,,,,,,,,,,,,,,,,annoyed,1,1,2,,,,,pleased,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4a8c8347b9fe5082353a3c,animate,lexical,hungry,1,0,1,worried,1,1,1,worried,1,1,1,worried,1,1,1,adventurous,1,0,1,scared,1,1,1,hopeful,1,1,1,excited,1,1,1,sporty,1,0,1,worried,1,1,1,angry,1,1,1,angry,1,1,1,groovy,1,0,1,happy,1,1,1,happy,1,1,1,happy,1,1,1,gormless,1,0,1,Fun,1,0,1,Fun,1,0,1,Fun,1,0,1,sweet,1,0,1,Sweet,1,1,1,Sweet,1,1,1,Sweet,1,1,1
5eed2e5c2c93d5142aa8fc0e,animate,lexical,cute,1,0,1,crazy,1,1,2,happy,1,1,2,sad,1,1,2,athletic,1,0,1,scared,1,1,1,scared,1,1,1,scared,1,1,3,cool,1,0,1,cool,1,0,1,angry,1,1,3,angry,1,1,3,musical,1,0,1,happy,1,1,3,happy,1,1,3,happy,1,1,3,funny,1,0,1,fun,1,0,2,fun,1,0,2,fun,1,0,2,sweets,1,1,1,books,1,1,1,books,1,1,1,books,1,1,1
5ce45fdfb091340001f5d84b,animate,lexical,Goodlooking. ,1,0,1,unhappy,1,1,1,unhappy,1,1,2,unhappy,1,1,2,Funny,1,0,1,scared,1,1,2,scared,1,1,2,scared,1,1,2,Fast. ,1,0,1,annoyed,1,1,1,angry,1,1,2,angry,1,1,2,Cool.,1,0,1,happy,1,1,2,happy,1,1,2,happy,1,1,2,angry,1,1,1,Annoying,1,0,1,Annoying,1,0,2,Annoying,1,0,2,Some kind of food.,1,0,1,Some type of pen. ,1,1,1,Some type of pen. ,1,1,1,Some type of pen. ,1,1,1
63bc8d3bcf7082d87a3aca30,animate,lexical,Hungry,1,0,2,happy,1,1,1,glad,1,1,2,happy,1,1,2,Energetic,1,0,1,scared,1,1,2,scared,1,1,2,scared,1,1,2,Sporty,1,0,2,worried,1,1,2,angry,1,1,3,angry,1,1,3,Loud,1,0,1,pleased,1,1,1,pleased,1,1,2,pleased,1,1,2,Fit,1,0,1,Fun,1,0,2,Fun,1,0,3,Fun,1,0,3,Sweets,1,1,[blank],Book,1,1,1,Flowers,1,1,1,Flowers,1,1,1
5e10faccfeea897bcd4c4e85,animate,lexical,dishy,1,0,2,concerned,1,1,2,sure,1,1,2,[blank],n/a,n/a,[blank],wealthy,1,0,1,afraid,1,1,1,afraid,1,1,1,afraid,1,1,2,wet,1,0,1,scared,1,1,1,annoyed,1,1,2,annoyed,1,1,2,groovy,1,0,2,happy,1,1,2,happy,1,1,3,happy,1,1,3,gorgeous,1,0,2,lovely,1,0,2,lovely,1,0,2,lovely,1,0,2,pens,1,1,2,pens,1,1,1,pens,1,1,2,pens,1,1,2
602b981a69d3542d219a442c,animate,lexical,hungry,1,0,4,happy,1,1,3,happy,1,1,4,excited,1,1,4,small,1,0,2,fond,1,1,2,scared,1,1,3,scared,1,1,4,good swimmer,0,0,2,angry,1,1,2,mad,1,1,3,mad,1,1,4,jolly,1,1,1,glad,1,1,2,glad,1,1,3,glad,1,1,4,energetic,1,0,1,tiring,1,0,2,tiring,1,0,3,tiring,1,0,4,snack ,1,1,2,chocolate bars,1,1,2,snack bar,1,1,2,snack bars,1,1,3
57507e67fcaa630007cb9ad2,animate,lexical,Likes food,0,0,2,anxious,1,1,2,Irritated,1,1,3,irritated,1,1,3,Sociable,1,0,2,afraid,1,1,3,afraid,1,1,4,afraid,1,1,4,anxious,1,1,1,worried,1,1,4,mad,1,1,4,mad,1,1,4,Talented,1,0,2,happy,1,1,3,happy,1,1,4,happy,1,1,4,shy,1,1,2,Nice,1,0,3,Nice,1,0,4,Nice,1,0,4,Glasses,1,1,2,Lipstick,1,1,1,Plastic Cup,1,1,3,Plastic Cups,1,1,2
6368e44663ab624da3962b32,animate,lexical,Diabetic ,1,0,1,worried,1,1,1,upset,1,1,1,Upset,1,1,2,Brave,1,0,1,interested,1,1,1,worried,1,1,1,excited,1,1,2,Athletic ,1,0,1,worried,1,1,2,angry,1,1,1,angry,1,1,3,Groovy ,1,0,4,happy,1,1,1,joyful,1,1,2,joyful,1,1,3,Athletic ,1,0,2,Nice ,1,0,3,Nice ,1,0,4,Nice,1,0,4,Personal items,1,1,1,Potentially something spiritual or wholesome,1,1,1,Apple or fruit,1,1,1,Fruit of some sort,1,0,1
5cc22c575a8d7e001526e9da,animate,lexical,Handsome,1,0,1,excited,1,1,2,happy,1,1,2,happy,1,1,2,sad,1,1,1,a lover,0,0,2,excited,1,1,2,excited,1,1,3,happy,1,1,1,tentative,1,0,1,angry,1,1,3,angry,1,1,4,talented,1,0,1,happy,1,1,2,happy,1,1,3,happy,1,1,3,happy,1,1,1,fun,1,0,3,fun,1,0,4,fun,1,0,4,Shoes,1,1,1,Food,1,0,1,Item of food,1,0,2,"oranges, apples",1,1,1
