,control-LEFT,test-RIGHT,test-LEFT,test-LEFT,test-RIGHT,test-RIGHT,test-LEFT,control-LEFT,
SONA ID,blickets (count N),daxy-about DP,wilpy-of…because,spoovy-that,troby-about gerund,brispy-at…because,larpy-to VP,roaking (transitive),
26284,1,0,0,0,1,1,1,1,
26326,1,1,1,1,1,1,1,0,
26245,0,1,1,1,1,1,0,1,
26311,1,1,1,1,1,1,1,1,
27268,1,0,1,0,1,0,1,0,
26656,1,0,1,1,1,1,0,1,
27583,1,1,1,0,1,1,0,1,
27136,1,0,1,0,1,1,1,1,
208002548,1,1,0,0,0,1,1,1,
26701,1,0,1,1,1,1,0,0,
27025,1,1,1,1,1,1,1,1,
26575,1,1,1,1,1,1,1,1,
26149,1,1,0,0,1,1,0,1,
26416,0,1,1,0,1,1,1,0,
mc2352,1,1,0,1,0,1,0,1,
26308,1,0,1,1,1,1,1,1,
26053,1,0,0,1,1,1,0,1,
27535,1,1,1,1,1,1,1,0,
26443,1,0,1,1,1,1,0,1,
27292,1,0,0,1,1,1,1,1,
26359,1,1,1,1,1,1,1,1,
26530,1,1,0,1,0,0,1,1,
26320,1,1,0,1,1,1,0,1,
26167,1,1,1,1,1,1,1,1,
26647,1,0,0,0,1,0,1,1,
26452,1,1,1,1,1,1,1,1,
26749,1,1,1,1,1,1,1,1,
26551,1,1,0,1,1,0,0,1,
27487,1,1,0,0,1,1,1,1,
26086,1,1,0,1,1,1,0,1,
26236,1,1,1,1,1,1,0,1,
27676,1,1,0,1,1,1,0,1,
26002,1,1,0,0,1,1,0,1,
26545,1,0,0,1,0,0,0,1,
26368,1,0,0,1,1,1,1,0,
26077,1,1,1,1,1,1,1,1,
27751,1,0,0,0,0,0,0,1,
26413,1,1,0,1,1,1,0,1,
27736,1,1,1,1,1,1,0,1,
26554,1,0,0,1,1,1,0,1,
26662,0,1,0,0,1,1,1,1,
26437,1,1,1,1,1,1,1,1,
26293,1,1,1,1,1,1,1,1,
27739,1,1,1,1,1,1,1,1,
26329,1,1,1,1,1,1,0,1,
ans225,1,0,1,1,0,0,0,1,
26566,1,0,1,0,1,1,0,1,
26737,1,1,1,1,1,1,1,1,