,,,MODI,MODI,MODI,MODI,MODI,MODI,MODI,MODI,DAXY,DAXY,DAXY,DAXY,DAXY,DAXY,DAXY,DAXY,WILPY,WILPY,WILPY,WILPY,WILPY,WILPY,WILPY,WILPY,GORMY,GORMY,GORMY,GORMY,GORMY,GORMY,GORMY,GORMY,BRISPY,BRISPY,BRISPY,BRISPY,BRISPY,BRISPY,BRISPY,BRISPY,SPOOVY,SPOOVY,SPOOVY,SPOOVY,SPOOVY,SPOOVY,SPOOVY,SPOOVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prolific ID,Animacy Condition,Frame Content Condition,Guess 1,Count Noun?,Guess 2,Count Noun?,Guess 3,Count Noun?,Guess 4,Count Noun?,Guess 1,Emotion Adj?,Guess 2,Emotion Adj?,Guess 3,Emotion Adj?,Guess 4,Emotion Adj?,Guess 1,Emotion Adj?,Guess 2,Emotion Adj?,Guess 3,Emotion Adj?,Guess 4,Emotion Adj?,Guess 1,Emotion Adj?,Guess 2,Emotion Adj?,Guess 3,Emotion Adj?,Guess 4,Emotion Adj?,Guess 1,Emotion Adj?,Guess 2,Emotion Adj?,Guess 3,Emotion Adj?,Guess 4,Emotion Adj?,Guess 1,Emotion Adj?,Guess 2,Emotion Adj?,Guess 3,Emotion Adj?,Guess 4,Emotion Adj?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598f3d19e339120001fb8afa,animate,bleached,candies,1,keys,1,dollars,1,pets,1,large in size,0,concerned,1,concerned,1,expected,0,energetic,0,scared,1,worried,1,ready,0,happy,1,irritating,0,irritating,0,irritating,0,short,0,upset,1,upset,1,upset,1,attractive,0,excited,1,looking forward,0,pleased,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4da4fcc53d36a956cd6c29,animate,bleached,earphones music,0,write pencil,1,leaves of tree,1,flowers,1,funny,0,happy,1,happy,1,happy,1,tall,0,mad,1,nervous,1,nervous,1,athletic,0,calm,1,something relaxing,0,relaxing,0,strong,0,secure,0,mad,1,mad,1,fun person,0,altered,0,confident,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4da4fcc53d36a956cd6c29,animate,bleached,,,,,,,,,,,,,,,,,,,,,anxious,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636581a8edbfeaf9a163095c,animate,bleached,Fruit,0,Apples,1,Apples,1,Apples,1,happy,1,happy,1,happy,1,happy,1,Dirty,0,scared,1,scared,1,happy,1,Adventurous,0,Awesome,0,Good,0,Good,0,Athletic,0,angry,1,angry,1,angry,1,Musical,0,excited,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394c4a71be9ebcc632f18f1,animate,bleached,It is some kind of food or something that you have large quantities of ,0,Food item you have around thee of ,1,Still a good item which are in substantial supply ,1,An item that is not in limited supply at all,1,A way to describe a person ,0,An attitude someone has towards a certain thing ,1,An attitude towards something or an event around it’s probability ,1,An emotion around something I.e feeling daxy ,1,Something that someone can be ,0,An emotion towards something ,1,confident,1,An attitude towards something such as enthusiastic or nervous ,1,A feeling or emotion,1,A description of someone or something I.e dirty ,0,An description of someone or somrthing i.e exciting or dirty ,0,A likely negative description of someone or something ,0,A way of describing someone or something,0,A feeling or attitude towards someone’s actions ,1,A feeling towards an individual ,1,A feeling towards someone or their actions ,1,A positive way to describe someone ,0,A feeling someone has ,1,A feeling or emotion about something ,1,A feeling towards something or someone’s actions likely positive ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394c4a71be9ebcc632f18f1,animate,bleached,,,,,,,,,,,,,,,,,,,,,not confident,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394c4a71be9ebcc632f18f1,animate,bleached,,,,,,,,,,,,,,,,,,,,,certain,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394c4a71be9ebcc632f18f1,animate,bleached,,,,,,,,,,,,,,,,,,,,,uncertain,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f2dee30160a0f13f3145b05,animate,bleached,Little plastic toys,1,Little plastic figures,1,Pens ,1,charms,1,diabetic,0,nervous,1,worried,1,anxious,1,adventurous,0,curious,1,curious,1,excited,1,fat,0,weird,0,weird,0,weird,0,athletic,0,nervous,1,annoyed,1,annoyed,1,sneaky,0,confused,1,antsy,1,agitated,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62869a1b7fff9c9a48fe6087,animate,bleached,kleenex,0,pens,1,pens,1,stickers,1,tall,0,smart,0,confident,1,sure,1,a girl,0,sure,1,sure,1,sure,1,a dog,0,scary,0,scary,0,scary,0,funny,0,afraid,1,mad,1,mad,1,talented,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bc8cdca0f10750001d70716,animate,bleached,plant,1,type of cosmetic,1,plant,1,toy,1,likes sweets,0,excited,1,excited,1,nervous,1,athletic,0,scared,1,scared,1,scared,1,friendly,0,happy,1,relaxing,0,relaxing,0,athletic,0,angry,1,angry,1,angry,1,excited,1,excited,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614e16143f7ba19d39637115,animate,bleached,[blank],n/a,[blank],n/a,[blank],n/a,snacks,1,friendly ,0,inquisitive,1,curious,1,excited,1,playful ,0,excited,1,excited,1,happy,1,friendly ,0,nice,0,nice,0,wired,0,[blank],n/a,curious,1,mad,1,unhappy,1,[blank],n/a,scared,1,scared,1,scared,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614e16143f7ba19d39637115,animate,bleached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,interesting,0,,,,,,,,,mad,1,,,,,afraid,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614e16143f7ba19d39637115,animate,bleached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e31e001db304d05e96019bd,animate,bleached,things,1,things,1,things,1,things or collectibles,1,a nationality,0,excited,1,excited,1,excited,1,outdoor person,0,upset,1,anxious,1,anxious,1,happy,1,scared,1,incites fear,0,scary,0,fast,0,judgy,0,judgy,0,upset,1,cool,0,excited,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e31e001db304d05e96019bd,animate,bleached,,,,,,,,,,,,,upset,1,,,,,,,,,,,,,,,,,,,,,,,upset,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ecddcf366133c160b7437b7,animate,bleached,mints,1,phones,1,books,1,hankerchiefs,1,hungry,0,enthusiastic,1,happy,1,excited,1,fun,0,scared,1,scared,1,scared,1,happy,1,scared,1,fun,0,fun,0,athletic,0,nervous,1,annoyed,1,annoyed,1,talented,0,excited,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ecddcf366133c160b7437b7,animate,bleached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nervous,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393fc93a0aea03630708b06,animate,bleached,Book,1,Book,1,Book,1,Pen,1,nice,0,passionate,1,certain,1,excited,1,Fun,0,afraid,1,afraid,1,nervous,1,Interesting,0,Nice,0,Fun,0,Nice,0,Energetic,0,happy,1,angry,1,angry,1,Talented,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60b6a586bbb419abdae29459,animate,bleached,sweets,1,sweets,1,sweets,1,sweets,1,sick,0,excited,1,excited,1,excited,1,grumpy,1,thinking,0,sure,1,scared,1,sad,1,sad,1,sad,1,sad,1,tired,0,concerned,1,mad,1,mad,1,nervous,1,nervous,1,nervous,1,nervous,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ec37264194de71cb7b82637,animate,bleached,money,0,candy,0,candy,0,candy,0,pretty,0,happy,1,happy,1,excited,1,sad,1,sad,1,nervous,1,scared,1,weird,0,uncomfortable,0,scary,0,scary,0,risky,0,scared,1,mad,1,upset,1,adventurous,0,happy,1,excited,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bdc538e2b9e8d0001b9fbbf,animate,bleached,food,0,toys,1,food,0,lollies,1,hungry,0,interested,1,worried,1,worried,1,playful,0,interested,1,worried,1,excited,1,outgoing,0,trendy,0,fashionable,0,fashionable,0,playful,0,concerned,1,angry,1,angry,1,trendy,0,concerned,1,rushing,0,upset,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596386246e30d40001a8c3fc,animate,bleached,Headphones,1,snacks,1,devices,1,collectable figures,1,cool,0,excited,1,excited,1,excited,1,fun,0,scared,1,worried,1,worried,1,sporty,0,fun,0,fun,0,fun,0,fun,0,annoyed,1,annoyed,1,annoyed,1,funny,0,excited,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596386246e30d40001a8c3fc,animate,bleached,,,,,,,,,,,,,mad,1,,,,,,,scared,1,excited,1,,,boring,0,boring,0,,,kind,0,irritated,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596386246e30d40001a8c3fc,animate,bleached,,,,,,,,,,,,,,,,,,,,,anxious,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607ba9f40639e8a2c931d622,animate,bleached,food,0,book,1,book,1,book,1,funny,0,excited,1,excited,1,excited,1,young,0,afraid,1,worried,1,afraid,1,happy,1,lucky,0,scary,0,brave,0,athletic,0,bossy,0,angry,1,angry,1,smart,0,happy,1,happy,1,annoyed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63bcb6f97c75334718eb8fc8,animate,bleached,writing insturment,1,writing instrument,1,Writing instrument ,1,Writing instrument ,1,fat,0,upset,1,upset,1,meant to be,0,Athletic,0,wary,1,worried,1,wary,1,pretty,0,upseting,0,fun,0,fun,0,wet,0,mad,1,mad,1,mad,1,talented,0,excited,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eca7a483cd05100084ef351,animate,bleached,an object or thing ,1,things to play with,1,a fun game,1,a game that you can have more than one of,1,fragile,0,unsure,1,worried,1,excited,1,energetic,0,concerned,1,concerned,1,excited,1,outdoor lover,0,risky,0,risky,0,risky,0,crazy,1,angry,1,angry,1,angry,1,groovy,0,confident,1,rushing,0,hyper,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eca7a483cd05100084ef351,animate,bleached,,,,,,,,,,,worried,1,,,keen,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55d4c46f58c35800113dc131,animate,bleached,Sweets,1,Hair ties,1,pen,1,pen,1,happy,1,happy,1,happy,1,excited,1,playful,0,sad,1,anxious,1,anxious,1,happy,1,exciting,0,fun,0,exciting,0,athletic,0,happy,1,angry,1,angry,1,silly,0,sad,1,excited,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c59baa95e09ea00015521d9,animate,bleached,Pads,1,Pads,1,Phone,1,Key,1,hungry,0,happy,1,happy,1,excited,1,Fun,0,scared,1,scared,1,scared,1,Gorgeous,0,Nice,0,Nice,0,Nice,0,Sporty,0,annoyed,1,annoyed,1,annoyed,1,Cool,0,excited,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c122026e6eb4e0001b2ec82,animate,bleached,an object,1,small objects,1,collectible objects,1,collectible objects,1,it is the hobby he does,0,an emotion,1,an emotion,1,an emotion,1,energetic,0,happy,1,excited,1,excited,1,energetic,0,scary,0,scary,0,special,0,athlectic,0,upset,1,upset,1,mad,1,confident,1,excited,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c105e2757fd11000127e60f,animate,bleached,a novel product,1,a new product,1,object for sale,1,a desirable object,1,hungry,0,enthusiastic,1,enthusiastic,1,happy,1,fun,0,scared,1,scared,1,anxious,1,fun,0,fun,0,fun,0,attractive,0,athletic,0,excited,1,angry,1,angry,1,hot,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a5bed3a76d1c60001ab3c4c,animate,bleached,Lipstick,1,Lipsticks,1,Beanie Babies/Toys,1,Toys/Stuffed Animals,1,handsome,0,excitable,0,confident,1,excited,1,Active,0,"A fan of, Into",0,nervous,1,determined,1,Creative,0,Dangerous,0,Gross,0,Frowned upon,0,calm,1,nervous,1,mad,1,salty,1,Artsy,0,confident,1,happy,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a5bed3a76d1c60001ab3c4c,animate,bleached,,,,,,,,,,,,,,,,,Into Fitness,0,,,,,,,,,Problematic,0,Messy,0,bad,0,,,,,,,mad,1,Creative,0,Certainty ,0,groovy,0,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a5bed3a76d1c60001ab3c4c,animate,bleached,,,,,,,,,,,excited by,1,certain,1,looking forward,0,,,,,,,willing,1,,,,,,,,,chill,1,worried,1,cross,1,angry,1,,,,,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63bb79aed472669f48be40cd,animate,bleached,glasses,1,pens,1,pens,1,pens,1,overweight,0,upset,1,upset,1,excited,1,adventurous,0,afraid,1,afraid,1,afraid,1,fit,0,happy,1,enjoyable,0,nice,0,sporty,0,anxious,1,angry,1,angry,1,musical,0,excited,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f0b1c32d61a4a0490b557f1,animate,bleached,Keys,1,Keys,1,Pens,1,Maybe pen,1,shy,1,unsure,1,unsure,1,[blank],n/a,[blank],n/a,scared,1,worried,1,[blank],n/a,Boring ,0,Boring,0,Boring ,0,Boring ,0,uneasy,1,uneasy,1,uneasy,1,uneasy,1,Cool,0,[blank],n/a,spooked,1,spooked,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610a119246a1dd2a66ef2f5c,animate,bleached,school supplies ,1,snack,0,food item,1,[blank],n/a,always hungry,0,excited,1,happy,1,excited,1,adventurous,0,afraid,1,[blank],n/a,scared,1,nervous,1,silly,0,[blank],n/a,inappropriate,0,energetic,0,worried,1,upset,1,angry,1,funny,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615c17dac17d529070394f43,animate,bleached,Shoes,1,Drinks,1,Drinks,1,Drinks,1,Greedy,0,excited,1,excited,1,excited,1,Young,0,scared,1,scared,1,scared,1,Athletic ,0,Fortunate,0,Good for you,0,Good for you,0,Healthy,0,jealous,1,angry,1,angry,1,Musically Talented ,0,concerned,1,nervous,1,nervous,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d54d5d907e8740018e56545,animate,bleached,Something bought,0,Toys,1,[blank],n/a,An idea or thought,1,crazy,1,crazy,1,happy,1,happy,1,Fun,0,scared,1,scared,1,scared,1,Fun,0,Fun,0,Scary,0,Scary,0,happy,1,worried,1,upset,1,worried,1,Unknown,0,suspicious,1,anxious,1,anxious,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6295040e6fecb5e08234c8cd,animate,bleached,Snacks,1,[blank],n/a,Cameras,1,Candy,0,Cool/ nice,0,curious,1,Curious ,1,Anxious,1,exciting,0,[blank],n/a,anxious,1,wants,0,interesting,0,[blank],n/a,fun,0,fun,0,slick,0,worried,1,mad,1,mad,1,fun,0,thinking ,0,anxious,1,anxious,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6295040e6fecb5e08234c8cd,animate,bleached,,,,,,,,,,,,,thinking,0,thinking,0,,,,,,,,,,,,,interesting,0,,,,,,,,,,,,,,,thinking,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f84b0568b326614c2194498,animate,bleached,food,0,food,0,a pastry,1,a treat,1,an ethnci,0,enthusiastic,1,enthusiastic,1,eager,1,active,0,good at,0,fearful,1,fearful,1,nerdy,0,nerdy,0,nerdy,0,nerdy,0,athletic,0,fearful,1,angry,1,angry,1,cute,0,curious,1,eager,1,curious,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596d1cdfe81bf30001fe0533,animate,bleached,bags,1,pockets for mobiles,1,Biscuits/snacks,1,Drinks,1,Sweet-toothed,0,obsessed by something,1,certain,1,excited,1,hates outdoors,0,afraid,1,scared,1,scared,1,An,0,walking,0,horrible,0,disgusting,0,swimmer,0,worried,1,angry,1,angry,1,musical,0,suspicious,1,waiting,0,annoyed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d6de63201523a0001f51f27,animate,bleached,books,1,books,1,books,1,books,1,hungry,0,crazy,1,mad,1,mad,1,energetic,0,afraid,1,afraid,1,afraid,1,healthy,0,healthy,0,healthy,0,healthy,0,fit,0,happy,1,angry,1,angry,1,happy,1,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6024b96760d68a1e5aad80b0,animate,bleached,Candy,0,Candy,1,Candy,0,Candy,0,Sweet tooth,0,crazy,1,sure,1,excited,1,Outdoorsy,0,certain,1,certain,1,excited,1,hungry,0,lovely,0,nice,0,nice,0,short,0,angry,1,angry,1,angry,1,kooky,0,curious,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5edf9c64ecf5a026f9fd3464,animate,bleached,Mints,1,Cards,1,Books,1,Books,1,Tall,0,suspicious,1,suspicious,1,determined,1,Small,0,scared,1,scared,1,scared,1,Smart,0,Smart,0,Smart,0,Smart,0,Fast,0,jealous,1,annoyed,1,annoyed,1,Fun,0,excited,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63bca22d6fa8440663c937f1,animate,bleached,An Item prob lipstick,1,Pens (an item),1,Markers,1,Markers,1,Quiet,0,quiet,0,upset,1,excited,1,shy,1,worried,1,worried,1,worried,1,Hyper,0,uncomfortable,0,stressed,1,uncomfortable ,0,Smart ,0,worried,1,upset,1,worried,1,Clumsy ,0,curious,1,excited,1,anxious,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63bca22d6fa8440663c937f1,animate,bleached,,,,,,,,,,,sad,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631a0fe0eb6a5b8c1f501d22,animate,bleached,type of medicine,0,type of sweets,1,type of objects,1,little trinkets,1,happy,1,interested in something,1,adamant,1,happy,1,clumsy,0,scared,1,scared somethings happening,1,excited,1,intelligent,0,awkward,0,awkward,0,awkward,0,jolly,1,jolly,1,happy,1,exciting,0,quirky,0,certain,1,nervous,1,nervous,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116c9e9f3490c79002fda6e,animate,bleached,books,1,book,1,book,1,book,1,fun,0,interested,0,excited,1,excited,1,athletic,0,needy,0,worried,1,wanting,0,handsome,0,cool,0,cool,0,cool,0,moderately insane,0,angry,1,angry,1,upset,1,musically inclined,0,vaguely nauseated,0,anxious,1,anxious,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116c9e9f3490c79002fda6e,animate,bleached,,,,,,,,,,,interesting,1,exciting,0,,,,,,,,,needing,0,,,hip,0,,,,,,,upset,1,upset,1,angry,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116c9e9f3490c79002fda6e,animate,bleached,,,,,,,,,,,,,,,,,,,,,,,,,,,happening,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63947b43e8f68b80a20b6c06,animate,bleached,"headphone, pencilsm",1,"pencils, drink bottle, book",1,"book, device, ",1,book,1,"hungry, a sweet tooth, ",0,an emotion,1,worried,1,worried,1,emotion or attribute,1,scared,1,scared,1,excited,1,big,0,fun,0,fun,0,fun,0,fit,0,upset,1,upset,1,annoyed,1,musical,0,excited,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63947b43e8f68b80a20b6c06,animate,bleached,,,,,,,,,,,happy,1,concerned,1,looking forward to,0,active,0,bored,1,concerned,1,scared,1,small,0,nice,0,enjoyable,0,enjoyable,0,active,0,worried,1,annoyed,1,upset,1,talented,0,worried,1,looking forward to,0,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63947b43e8f68b80a20b6c06,animate,bleached,,,,,,,,,,,sad,1,upset,1,,,,,tired,0,excited,1,looking forward,0,fluffy,0,,,,,,,sporty,0,excited,1,,,,,,,happy,1,,,upset,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63947b43e8f68b80a20b6c06,animate,bleached,,,,,,,,,,,excited,1,,,,,,,,,,,anxious,1,,,,,,,,,,,concerned,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63947b43e8f68b80a20b6c06,animate,bleached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,annoyed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
